feat,min_val,max_val
ntellsSinceElicit,0.0,26.0
ntellsSinceElicitKC,0.0,34.0
nElicitSinceTell,0.0,348.0
nElicitSinceTellKC,0.0,184.0
pctElicit,0.122699387,1.0
pctElicitKC,0.0,1.0
pctElicitSession,0.0,1.0
pctElicitKCSession,0.0,1.0
nTellSession,0.0,286.0
nTellKCSession,0.0,149.0
kcOrdering,1.0,325.0
kcOrderingSession,1.0,325.0
kcOrderingPb,1.0,34.0
durationKCBetweenDecision,-11.0,679136.0
timeInSession,0.0,68643.0
timeBetweenSession,0.0,1287388.0
timeOnCurrentProblem,0.0,29014.0
timeOnTutoring,778.0,64715.0
timeOnTutoringWE,0.0,60227.0
timeOnTutoringPS,595.0,51592.0
timeOnTutoringKC,0.0,60655.0
timeOnTutoringKCWE,0.0,59887.0
timeOnTutoringKCPS,0.0,43119.0
avgTimeOnStep,2.441717791,211.56333333333333
avgTimeOnStepWE,-1.0,466.7286821705425
avgTimeOnStepPS,5.132575757575758,444.43362831858406
avgTimeOnStepKC,-1.0,15248.0
avgTimeOnStepKCWE,-1.0,1014.8644067796613
avgTimeOnStepKCPS,-1.0,15248.0
timeOnLastStepKCPS,-1.0,15248.0
timeOnTutoringSession,0.0,63526.0
timeOnTutoringSessionWE,0.0,60227.0
timeOnTutoringSessionPS,0.0,51592.0
avgTimeOnStepSession,-1.0,28901.0
avgTimeOnStepSessionWE,-1.0,1008.0
avgTimeOnStepSessionPS,-1.0,28901.0
timeOnTutoringProblem,0.0,28998.0
timeOnTutoringProblemWE,0.0,7749.0
timeOnTutoringProblemPS,0.0,28998.0
avgTimeOnStepProblem,-1.0,7748.0
avgTimeOnStepProblemWE,-1.0,7748.0
avgTimeOnStepProblemPS,-1.0,3167.0
nTotalHint,0.0,1767.0
nTotalHintSession,0.0,1767.0
nHintKC,0.0,432.0
nHintSessionKC,0.0,432.0
nTotalHintProblem,0.0,192.0
AvgTimeOnStepWithHint,-1.0,4964.0
durationSinceLastHint,-8.0,776761.0
stepsSinceLastHint,0.0,452.0
stepsSinceLastHintKC,0.0,318.0
totalTimeStepsHint,0.0,16528.0
totalStepsHint,0.0,223.0
earlyTraining,0.0,0.0
simpleProblem,0.0,1.0
nKCs,0.0,324.0
nKCsAsPS,0.0,250.0
nKCsSession,0.0,324.0
nKCsSessionPS,0.0,197.0
newLevelDifficulty,0.0,0.0
performanceDifficulty,0.0,0.591897
nPrincipleInProblem,4.0,4.0
quantitativeDegree,0.2811059907834101,0.349834983
nTutorConceptsSession,0.0,1615.0
tutAverageConcepts,0.6493506493506493,4.592375366568915
tutAverageConceptsSession,0.0,40.0
tutConceptsToWords,0.024695682634206143,0.067346361
tutConceptsToWordsSession,0.0,0.094142259
tutAverageWords,20.87012987,102.73579545454544
tutAverageWordsSession,0.0,642.0
tutAverageWordsPS,17.54597701,139.5691056910569
tutAverageWordsSessionPS,0.0,642.0
nDistinctPrincipleInSession,0.0,8.0
nPrincipleInSession,0.0,87.0
principleDifficulty,1.0,9.0
principleCategory,0.0,2.0
problemDifficuly,19.0,19.0
problemCompexity,3.0,3.0
problemCategory,1.0,1.0
pctCorrect,0.160621762,0.986754967
pctOverallCorrect,0.3893557422969188,0.990797546
nCorrectKC,0.0,223.0
nIncorrectKC,0.0,120.0
pctCorrectKC,-1.0,1.0
pctOverallCorrectKC,-1.0,1.0
nCorrectKCSession,0.0,178.0
nIncorrectKCSession,0.0,120.0
pctCorrectSession,-1.0,1.0
pctCorrectKCSession,-1.0,1.0
pctOverallCorrectSession,-1.0,1.0
pctOverallCorrectKCSession,-1.0,1.0
nStepSinceLastWrong,0.0,203.0
nStepSinceLastWrongKC,0.0,173.0
nWEStepSinceLastWrong,0.0,168.0
nWEStepSinceLastWrongKC,0.0,147.0
nStepSinceLastWrongSession,0.0,203.0
nStepSinceLastWrongKCSession,0.0,173.0
nWEStepSinceLastWrongSession,0.0,161.0
nWEStepSinceLastWrongKCSession,0.0,147.0
timeSinceLastWrongStepKC,-8.0,1303797.0
nCorrectPSStepSinceLastWrong,0.0,134.0
nCorrectPSStepSinceLastWrongKC,0.0,170.0
nCorrectPSStepSinceLastWrongKCSession,0.0,170.0
pctCorrectPrin,0.0,0.972727273
pctCorrectPrinSession,-1.0,1.0
nStepSinceLastWrongPrin,0.0,108.0
nWEStepSinceLastWrongPrin,0.0,98.0
nStepSinceLastWrongPrinSession,0.0,108.0
nWEStepSinceLastWrongPrinSession,0.0,98.0
nCorrectPSStepSinceLastWrongPrin,0.0,47.0
nCorrectPSStepSinceLastWrongPrinSession,0.0,47.0
pctCorrectFirst,0.0,1.0
nStepsSinceLastWrongFirst,0.0,18.0
nWEStepSinceLastWrongFirst,0.0,14.0
nCorrectPSStepSinceLastWrongFirst,0.0,18.0
pctCorrectLastProb,0.0,1.0
pctCorrectLastProbPrin,0.0,1.0
pctCorrectAdd2Select,-1.0,1.0
pctCorrectAdd3Select,-1.0,1.0
pctCorrectCompSelect,0.0,1.0
pctCorrectDeMorSelect,-1.0,1.0
pctCorrectIndeSelect,0.0,1.0
pctCorrectMutualSelect,-1.0,1.0
pctCorrectAdd2Apply,-1.0,1.0
pctCorrectAdd3Apply,-1.0,1.0
pctCorrectCompApply,0.0,1.0
pctCorrectDeMorApply,-1.0,1.0
pctCorrectIndeApply,0.0,1.0
pctCorrectMutualApply,-1.0,1.0
pctCorrectAdd2All,-1.0,1.0
pctCorrectAdd3All,-1.0,1.0
pctCorrectCompAll,0.0,1.0
pctCorrectDeMorAll,-1.0,1.0
pctCorrectIndeAll,0.0,1.0
pctCorrectMutualAll,-1.0,1.0
pctCorrectSelectMain,0.04918032786885247,1.0
nAdd2Prob,0.0,0.0
nAdd3Prob,0.0,0.0
nDeMorProb,0.0,0.0
nIndeProb,0.0,0.0
nCompProb,1.0,1.0
nMutualProb,0.0,0.0
